"filename", "language", "JavaScript", "Markdown", "YAML", "XML", "HTML", "Handlebars", "PostCSS", "SCSS", "JSON with Comments", "JSON", "Properties", "comment", "blank", "total"
"d:\codes\database\.eslintrc.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 199
"d:\codes\database\.github\FUNDING.yml", "YAML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"d:\codes\database\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 34
"d:\codes\database\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\codes\database\.github\ISSUE_TEMPLATE\question.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 36
"d:\codes\database\.travis.yml", "YAML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\codes\database\README.md", "Markdown", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 152
"d:\codes\database\babel.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 15
"d:\codes\database\backend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 2, 13
"d:\codes\database\backend\app.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 76
"d:\codes\database\backend\middleware\auth.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 102
"d:\codes\database\backend\models\database.js", "JavaScript", 283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 34, 343
"d:\codes\database\backend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"d:\codes\database\backend\routes\auth.js", "JavaScript", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 34, 248
"d:\codes\database\backend\routes\dashboard.js", "JavaScript", 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 34, 296
"d:\codes\database\backend\routes\finance.js", "JavaScript", 436, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 87, 552
"d:\codes\database\backend\routes\health.js", "JavaScript", 468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 85, 584
"d:\codes\database\backend\routes\projects.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 39, 224
"d:\codes\database\backend\routes\tasks.js", "JavaScript", 415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 73, 517
"d:\codes\database\backend\test-api-full.js", "JavaScript", 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 68, 376
"d:\codes\database\backend\test-api.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 97
"d:\codes\database\build\index.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"d:\codes\database\docs\crud_operations_guide.md", "Markdown", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 138
"d:\codes\database\docs\database_project_overview.md", "Markdown", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 183
"d:\codes\database\docs\important_files_overview.md", "Markdown", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 76
"d:\codes\database\jest.config.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 25
"d:\codes\database\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"d:\codes\database\mock\article.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 117
"d:\codes\database\mock\index.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 61
"d:\codes\database\mock\mock-server.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 82
"d:\codes\database\mock\remote-search.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 52
"d:\codes\database\mock\role\index.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 99
"d:\codes\database\mock\role\routes.js", "JavaScript", 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 255
"d:\codes\database\mock\user.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 85
"d:\codes\database\mock\utils.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 49
"d:\codes\database\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 1, 113
"d:\codes\database\plop-templates\component\index.hbs", "Handlebars", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\codes\database\plop-templates\component\prompt.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"d:\codes\database\plop-templates\store\index.hbs", "Handlebars", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"d:\codes\database\plop-templates\store\prompt.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 63
"d:\codes\database\plop-templates\utils.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\codes\database\plop-templates\view\index.hbs", "Handlebars", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\codes\database\plop-templates\view\prompt.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"d:\codes\database\plopfile.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\codes\database\postcss.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\codes\database\public\index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"d:\codes\database\src\api\article.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"d:\codes\database\src\api\budget.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 29
"d:\codes\database\src\api\dashboard.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 50
"d:\codes\database\src\api\finance.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 45
"d:\codes\database\src\api\health.js", "JavaScript", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 212
"d:\codes\database\src\api\healthNew.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"d:\codes\database\src\api\project.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"d:\codes\database\src\api\remote-search.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
